Make,Model,Engine HP,highway MPG,MSRP,log_MSRP,Engine HP_scaled,highway MPG_scaled,log_MSRP_scaled,value_gap,Cluster,Segmen,Cluster_A,harga_per_hp,Baseline
Aston Martin,V12 Vantage,510.0,17.0,186265.0,12.134931038592361,1.6292835222961515,-1.6369732475306074,2.1704502482165995,0.6236330969288648,2,Overpriced / Low Value,0,365.22549019607845,High
Aston Martin,V12 Vantage S,565.0,18.0,183695.0,12.121037496333592,2.0474426495704767,-1.476643790079044,2.149394616040544,0.44735232482049625,2,Overpriced / Low Value,0,325.12389380530976,High
Aston Martin,V8 Vantage,430.0,20.0,131847.5,11.789408815152441,1.0210520644425871,-1.155984875175917,1.6468120924531209,0.4898415348993268,2,Overpriced / Low Value,0,306.6220930232558,High
Aston Martin,Vanquish,568.0,21.0,298995.0,12.608185474356917,2.0702513292399853,-0.9956554177243536,2.8876662856785953,0.8889437374871729,2,Overpriced / Low Value,0,526.3996478873239,High
Aston Martin,Virage,490.0,18.0,215795.0,12.282088795953197,1.4772256578327603,-1.476643790079044,2.3934674999104435,0.8166953673641029,2,Overpriced / Low Value,0,440.3979591836735,High
Audi,A3,186.0,34.0,38350.0,10.554535882074735,-0.8340538820107837,1.0886275291459708,-0.2246350719041227,0.3041578109145906,1,Standard Value,2,206.18279569892474,High
Audi,A4,220.0,32.0,38700.0,10.563620718477313,-0.575555512423019,0.767968614242844,-0.2108670226831542,0.0929222174295834,1,Standard Value,2,175.9090909090909,High
Audi,A4 allroad,252.0,28.0,47000.0,10.757924157061597,-0.3322629292815932,0.1266507844365903,0.08359940331351685,0.1390293966323224,1,Standard Value,1,186.5079365079365,High
Audi,A5,220.0,31.0,42800.0,10.664316745782925,-0.575555512423019,0.6076391567912806,-0.058262418828526445,0.2062220940934445,1,Standard Value,2,194.54545454545453,High
Audi,A6,252.0,32.0,55050.0,10.916015307290108,-0.3322629292815932,0.767968614242844,0.3231861874110064,0.24670514942783583,1,Standard Value,1,218.45238095238096,High
Audi,A7,310.0,30.0,70075.0,11.157335646355712,0.10870487766224086,0.44730969933971715,0.6889066207842385,0.21028334011362482,1,Standard Value,1,226.0483870967742,High
Audi,A8,391.5,29.0,87850.0,11.383397476589728,0.7283406753505595,0.28698024188815374,1.0315028181973989,0.10757891783425144,0,High Value,1,224.3933588761175,High
Audi,Q3,200.0,28.0,36100.0,10.494075844768336,-0.7276133768864099,0.1266507844365903,-0.31626212303074513,0.213185214616459,1,Standard Value,1,180.5,High
Audi,Q5,240.0,28.0,47800.0,10.774801838762809,-0.42349764795962785,0.1266507844365903,0.10917749213107267,0.2272633770856558,1,Standard Value,1,199.16666666666666,High
Audi,Q7,280.0,25.0,58800.0,10.981914140544825,-0.11938191903284572,-0.35433758791809994,0.42305572161613525,0.24673969771504645,1,Standard Value,1,210.0,High
Audi,R8,525.0,22.0,162900.0,12.000897933306716,1.7433269206436948,-0.8353259602727902,1.9673233773476653,0.384186065997584,2,Overpriced / Low Value,0,310.2857142857143,High
Audi,RS 5,450.0,23.0,74400.0,11.217224661591072,1.1731099289059783,-0.6749965028212268,0.7796682892411088,-0.18664352584893606,0,High Value,0,165.33333333333334,Mid
Audi,RS 7,560.0,25.0,108900.0,11.598194491615347,2.009428183454629,-0.35433758791809994,1.3570272133918306,-0.15071741525464866,0,High Value,0,194.46428571428572,High
Audi,S3,292.0,31.0,44950.0,10.713328286593352,-0.028147200354811084,0.6076391567912806,0.016014461499437145,-0.15884248157624725,1,Standard Value,1,153.93835616438355,Mid
Audi,S4,333.0,27.0,52100.0,10.860939421415225,0.28357142179514055,-0.033678673014973105,0.23971880572006174,-0.1529737461363343,0,High Value,1,156.45645645645646,Mid
Audi,S5,333.0,26.0,59350.0,10.99122424909553,0.28357142179514055,-0.19400813046653653,0.4371651702730518,-0.010085069097778288,0,High Value,1,178.22822822822823,High
Audi,S6,450.0,27.0,74100.0,11.21318430646977,1.1731099289059783,-0.033678673014973105,0.7735451401038854,-0.24109927840323486,0,High Value,1,164.66666666666666,Mid
Audi,S7,450.0,27.0,82700.0,11.322986972837104,1.1731099289059783,-0.033678673014973105,0.9399508350605819,-0.13129661203590182,0,High Value,0,183.77777777777777,High
Audi,S8,562.5,25.0,114900.0,11.651826167019166,2.028435416512553,-0.35433758791809994,1.4383058973484495,-0.10360028965175339,0,High Value,0,204.26666666666668,High
Audi,SQ5,354.0,24.0,56750.0,10.946428556333773,0.4432321794817012,-0.5146670453696633,0.3692773982206906,-0.11911226390876628,0,High Value,1,160.31073446327684,Mid
Audi,TT,220.0,30.0,43425.0,10.678813619053717,-0.575555512423019,0.44730969933971715,-0.0362924398550196,0.23332281672248634,1,Standard Value,1,197.38636363636363,High
Audi,TT RS,360.0,25.0,57025.0,10.951262583167178,0.4888495388207185,-0.35433758791809994,0.37660335506003634,-0.15146273247491493,0,High Value,1,158.40277777777777,Mid
Audi,TTS,278.5,29.0,51800.0,10.85516473308054,-0.13078625886760004,0.28698024188815374,0.23096727848231044,0.07743085089485113,1,Standard Value,1,185.99640933572712,High
Audi,allroad,220.0,28.0,43900.0,10.689692377847104,-0.575555512423019,0.1266507844365903,-0.019805705268595774,0.26940927423237326,1,Standard Value,1,199.54545454545453,High
BMW,1 Series,300.0,28.0,37200.0,10.524090921620362,0.03267594543054534,0.1266507844365903,-0.27077434128571143,-0.34979811057120536,0,High Value,1,124.0,Low
BMW,1 Series M,335.0,26.0,46135.0,10.739348835295248,0.2987772082414797,-0.19400813046653653,0.05544854477941897,-0.2707180780010674,0,High Value,1,137.71641791044777,Low
BMW,2 Series,248.0,33.0,40950.0,10.620131509007471,-0.3626745021742714,0.9282980716944074,-0.12522504620086983,-0.038381774794951085,1,Standard Value,2,165.1209677419355,Mid
BMW,3 Series,240.0,34.0,40875.0,10.6182983727321,-0.42349764795962785,1.0886275291459708,-0.12800316012055318,-0.004863185094549749,1,Standard Value,2,170.3125,Mid
BMW,3 Series Gran Turismo,274.0,31.5,45600.0,10.727684925086583,-0.16499927837186304,0.6878038855170623,0.03777191498163156,-0.057734296005543584,1,Standard Value,1,166.42335766423358,Mid
BMW,4 Series,248.0,32.0,50000.0,10.819798284210286,-0.3626745021742714,0.767968614242844,0.17736950442901975,0.1738888497661133,1,Standard Value,1,201.61290322580646,High
BMW,4 Series Gran Coupe,274.0,32.5,44875.0,10.711658409664855,-0.16499927837186304,0.8481333429686256,0.013483766754291566,-0.08636466078552196,1,Standard Value,1,163.77737226277372,Mid
BMW,5 Series,278.5,32.0,57625.0,10.961729133727554,-0.13078625886760004,0.767968614242844,0.39246538899254557,0.1461837034671145,1,Standard Value,1,206.91202872531417,High
BMW,5 Series Gran Turismo,300.0,26.0,63200.0,11.05407540279458,0.03267594543054534,-0.19400813046653653,0.5324159529373955,0.20539406931951198,1,Standard Value,1,210.66666666666666,High
BMW,6 Series,380.0,26.5,87950.0,11.384535120197711,0.6409074032841096,-0.11384340174075482,1.0332269145373376,0.1838299618133057,0,High Value,1,231.44736842105263,High
BMW,6 Series Gran Coupe,380.0,26.5,86200.0,11.364437057512568,0.6409074032841096,-0.11384340174075482,1.0027683455512615,0.16373189912816244,0,High Value,1,226.8421052631579,High
BMW,7 Series,445.0,25.5,88800.0,11.394153190178114,1.1350954627901304,-0.2741728591923182,1.0478030780512257,-0.024883511970971384,0,High Value,0,199.5505617977528,High
BMW,ALPINA B6 Gran Coupe,600.0,24.0,122200.0,11.713422508992204,2.313543912381411,-0.5146670453696633,1.5316550156524031,-0.12378858980658158,0,High Value,0,203.66666666666666,High
BMW,ALPINA B7,540.0,24.0,132200.0,11.792078770667635,1.857370318991238,-0.5146670453696633,1.6508584040565464,0.1089589023441011,2,Overpriced / Low Value,0,244.8148148148148,High
BMW,ActiveHybrid 5,335.0,30.0,61900.0,11.033291613631048,0.2987772082414797,0.44730969933971715,0.500918167009132,-0.02719069709826627,0,High Value,1,184.77611940298507,High
BMW,ActiveHybrid 7,350.0,30.0,84300.0,11.342149006315793,0.412820606589023,0.44730969933971715,0.968990853880685,0.21760474618035452,1,Standard Value,1,240.85714285714286,High
BMW,ActiveHybrid X6,480.0,19.0,88900.0,11.395278670032656,1.401196725601065,-1.3163143326274804,1.0495087402500676,-0.052562611460468034,0,High Value,0,185.20833333333334,High
BMW,M2,365.0,26.0,51700.0,10.853232402669228,0.5268640049365663,-0.19400813046653653,0.22803883607177083,-0.28226968922353635,0,High Value,1,141.64383561643837,Mid
BMW,M3,425.0,26.0,63500.0,11.05881093278828,0.9830375983267394,-0.19400813046653653,0.5395926380367702,-0.2992738215741877,0,High Value,1,149.41176470588235,Mid
BMW,M4,425.0,26.0,69350.0,11.146935845249686,0.9830375983267394,-0.19400813046653653,0.6731457455002986,-0.21114890911278117,0,High Value,1,163.1764705882353,Mid
BMW,M4 GTS,493.0,23.0,133205.0,11.799652081118973,1.500034337502269,-0.6749965028212268,1.6623357390837463,0.26231253766475326,2,Overpriced / Low Value,0,270.1926977687627,High
BMW,M5,560.0,20.0,93600.0,11.446796346169297,2.009428183454629,-1.155984875175917,1.127583663051962,-0.2390963139094513,0,High Value,0,167.14285714285714,Mid
BMW,M6,560.0,20.0,115950.0,11.66092296705356,2.009428183454629,-1.155984875175917,1.4520920774266388,-0.024969693025187922,2,Overpriced / Low Value,0,207.05357142857142,High
BMW,M6 Gran Coupe,560.0,20.0,117200.0,11.671645688511857,2.009428183454629,-1.155984875175917,1.4683423377812075,-0.01424697156689092,2,Overpriced / Low Value,0,209.28571428571428,High
BMW,X1,234.0,32.0,33950.0,10.432673587634051,-0.46911500729864514,0.767968614242844,-0.40931710619625633,-0.1282526225425542,1,Standard Value,2,145.0854700854701,Mid
BMW,X3,240.0,28.0,41625.0,10.636480251018197,-0.42349764795962785,0.1266507844365903,-0.10044856429958972,0.08894178934104424,1,Standard Value,1,173.4375,Mid
BMW,X4,300.0,27.0,48000.0,10.778977123006351,0.03267594543054534,-0.033678673014973105,0.11550512605085463,-0.08230805982696587,0,High Value,1,160.0,Mid
BMW,X5,300.0,25.0,57700.0,10.96302978336854,0.03267594543054534,-0.35433758791809994,0.3944365206104203,0.12695229925172313,0,High Value,1,192.33333333333334,High
BMW,X5 M,567.0,19.0,98800.0,11.500863005142227,2.062648436016816,-1.3163143326274804,1.2095215636333436,-0.19059391514217872,0,High Value,0,174.2504409171076,High
BMW,X6,300.0,24.0,62900.0,11.049317340813348,0.03267594543054534,-0.5146670453696633,0.5252051206613825,0.2258437060547802,0,High Value,1,209.66666666666666,High
BMW,X6 M,567.0,19.0,102200.0,11.534696741439683,2.062648436016816,-1.3163143326274804,1.2607965152153466,-0.15676017884472238,0,High Value,0,180.2469135802469,High
BMW,Z4,300.0,24.0,56950.0,10.949946527983677,0.03267594543054534,-0.5146670453696633,0.3746088763769843,0.12647289322510957,0,High Value,1,189.83333333333334,High
Bentley,Continental Flying Spur,552.0,19.0,184200.0,12.123782831670258,1.9486050376692727,-1.3163143326274804,2.1535551655945846,0.4715377510903753,2,Overpriced / Low Value,0,333.69565217391306,High
Bentley,Continental Flying Spur Speed,600.0,17.0,209600.0,12.252961002410009,2.313543912381411,-1.6369732475306074,2.349324394032722,0.5039768491189704,2,Overpriced / Low Value,0,349.3333333333333,High
Bentley,Continental GT,521.0,24.0,214600.0,12.276535769000125,1.7129153477510166,-0.5146670453696633,2.385051900000075,0.645801833118341,2,Overpriced / Low Value,0,411.90019193857967,High
Bentley,Continental GT Speed,608.0,18.5,212350.0,12.265995844936828,2.3743670581667677,-1.396479061353262,2.3690786686882217,0.4787345878926157,2,Overpriced / Low Value,0,349.25986842105266,High
Bentley,Continental GT Speed Convertible,626.0,20.0,238700.0,12.382967001677175,2.5112191361838194,-1.155984875175917,2.5463481947500846,0.5341304089263446,2,Overpriced / Low Value,0,381.30990415335464,High
Bentley,Continental GTC,544.0,22.0,212800.0,12.268112735686705,1.8877818918839162,-0.8353259602727902,2.3722868118784985,0.5994070557458446,2,Overpriced / Low Value,0,391.1764705882353,High
Bentley,Continental GTC Speed,600.0,17.0,233750.0,12.362011725216648,2.313543912381411,-1.6369732475306074,2.5145905202073013,0.6130275719256097,2,Overpriced / Low Value,0,389.5833333333333,High
Bentley,Continental Supersports,621.0,19.0,267000.0,12.495007682693725,2.4732046700679717,-1.3163143326274804,2.7161455958952296,0.670503262074682,2,Overpriced / Low Value,0,429.951690821256,High
Bentley,Continental Supersports Convertible,621.0,19.0,280400.0,12.543976000470021,2.4732046700679717,-1.3163143326274804,2.790356971811773,0.7194715798509783,2,Overpriced / Low Value,0,451.52979066022544,High
Bentley,Flying Spur,616.0,20.0,201000.0,12.211065162153215,2.435190203952124,-1.155984875175917,2.2858313419568876,0.38578002861161487,2,Overpriced / Low Value,0,326.2987012987013,High
Bentley,Supersports Convertible ISR,631.0,19.0,291900.0,12.584169982667103,2.5492336022996676,-1.3163143326274804,2.851270861809733,0.7363022215684794,2,Overpriced / Low Value,0,462.59904912836765,High
Buick,Cascada,200.0,27.0,36065.0,10.493105872267217,-0.7276133768864099,-0.033678673014973105,-0.31773211418376185,0.2248190914735897,1,Standard Value,1,180.325,High
Buick,Enclave,288.0,22.0,45660.0,10.72899982085141,-0.058558773247489294,-0.8353259602727902,0.039764636568278555,-0.009563376201521478,0,High Value,1,158.54166666666666,Mid
Buick,Encore,138.0,32.5,27902.5,10.236507407970185,-1.1989927567229222,0.8481333429686256,-0.7066065121270881,0.4415852891343679,1,Standard Value,2,202.19202898550725,High
Buick,Envision,224.5,27.0,40820.0,10.616951933858967,-0.5413424929187559,-0.033678673014973105,-0.13004368521719242,0.1796594606687414,1,Standard Value,1,181.82628062360803,High
Buick,LaCrosse,304.0,28.0,38112.5,10.548323829063152,0.06308751832322355,0.1266507844365903,-0.23404942433015577,-0.3449365328442138,0,High Value,1,125.37006578947368,Low
Buick,Lucerne,227.0,26.0,34830.0,10.458263073829322,-0.5223352598608321,-0.19400813046653653,-0.3705362971796214,0.017378116010199562,1,Standard Value,1,153.43612334801762,Mid
Buick,Regal,259.0,29.0,31615.0,10.361418600547594,-0.2790426767194063,0.28698024188815374,-0.5173038795373076,-0.3101513929081481,0,High Value,1,122.06563706563706,Low
Buick,Verano,180.0,32.0,24295.0,10.098067006725584,-0.879671241349801,0.767968614242844,-0.9164126301508805,-0.07914779038403985,1,Standard Value,2,134.97222222222223,Low
Cadillac,ATS,272.0,30.0,43155.0,10.67257673667123,-0.18020506481820214,0.44730969933971715,-0.045744421137048075,-0.0832222740954105,1,Standard Value,1,158.65808823529412,Mid
Cadillac,ATS Coupe,272.0,30.0,46995.0,10.757817770687463,-0.18020506481820214,0.44730969933971715,0.08343817500178943,0.002018759920822788,1,Standard Value,1,172.77573529411765,Mid
Cadillac,ATS-V,464.0,23.0,61680.0,11.029731220816553,1.279550434030352,-0.6749965028212268,0.49552239967290945,-0.41894396375079523,0,High Value,0,132.93103448275863,Low
Cadillac,CT6,335.0,27.0,63582.5,11.060109281707136,0.2987772082414797,-0.033678673014973105,0.5415602829154095,0.03743851905257145,0,High Value,1,189.79850746268656,High
Cadillac,CTS,321.0,29.0,57520.0,10.959905377501109,0.19233670311710596,0.28698024188815374,0.3897014905160013,-0.02553922548372256,0,High Value,1,179.19003115264798,High
Cadillac,CTS Coupe,318.0,27.0,44872.5,10.711602699048068,0.1695280234475973,-0.033678673014973105,0.01339933743932575,-0.23490157838832282,0,High Value,1,141.10849056603774,Mid
Cadillac,CTS Wagon,318.0,26.0,44190.0,10.696276427422939,0.1695280234475973,-0.19400813046653653,-0.00982759288259143,-0.2376240006552024,0,High Value,1,138.96226415094338,Low
Cadillac,CTS-V,640.0,21.0,83995.0,11.33852445764401,2.6176596413081934,-0.9956554177243536,0.963497858486431,-0.5552635845661431,0,High Value,0,131.2421875,Low
Cadillac,CTS-V Coupe,556.0,19.0,63600.0,11.060384472475045,1.9790166105619509,-1.3163143326274804,0.541977333907835,-0.6024203219371458,0,High Value,0,114.38848920863309,Low
Cadillac,CTS-V Wagon,556.0,19.0,63215.0,11.054312712651171,1.9790166105619509,-1.3163143326274804,0.5327755954935626,-0.6084920817610193,0,High Value,0,113.69604316546763,Low
Cadillac,DTS,275.0,23.0,53175.0,10.881362445721418,-0.15739638514869347,-0.6749965028212268,0.2706698533150291,0.19774801838352296,0,High Value,1,193.36363636363637,High
Cadillac,Escalade,420.0,21.0,79920.0,11.288793925756666,0.9450231322108916,-0.9956554177243536,0.8881313487917127,0.011036478320196608,0,High Value,0,190.28571428571428,High
Cadillac,Escalade ESV,420.0,21.0,82920.0,11.325643626293688,0.9450231322108916,-0.9956554177243536,0.9439769874239787,0.04788617885721891,0,High Value,0,197.42857142857142,High
Cadillac,Escalade EXT,403.0,18.0,67250.0,11.116187167242005,0.8157739474170093,-1.476643790079044,0.626546192846902,-0.06333035976806833,0,High Value,0,166.87344913151364,Mid
Cadillac,Escalade Hybrid,332.0,23.0,80135.0,11.2914804702916,0.275968528571971,-0.6749965028212268,0.8922028010174001,0.3323812418708627,2,Overpriced / Low Value,1,241.37048192771084,High
Cadillac,SRX,308.0,24.0,46135.0,10.739348835295248,0.09349909121590176,-0.5146670453696633,0.05544854477941897,-0.12261423163913321,0,High Value,1,149.78896103896105,Mid
Cadillac,STS,302.0,27.0,53382.5,10.885256988437378,0.047881731876884444,-0.033678673014973105,0.2765720240785313,0.014254068773784212,0,High Value,1,176.76324503311258,High
Cadillac,XT5,310.0,26.5,49642.5,10.812622744488113,0.10870487766224086,-0.11384340174075482,0.16649499005099005,-0.09031608900010113,0,High Value,1,160.13709677419354,Mid
Cadillac,XTS,304.0,26.0,57935.0,10.967094232005422,0.06308751832322355,-0.19400813046653653,0.40059618341654457,0.09904156881455606,0,High Value,1,190.57565789473685,High
Chevrolet,Avalanche,320.0,21.0,40195.0,10.601522767168849,0.1847338098939364,-0.9956554177243536,-0.15342655277964867,-0.27852781100108537,0,High Value,1,125.609375,Low
Chevrolet,Aveo,108.0,35.0,14175.0,9.559305672844863,-1.4270795534180087,1.2489569865975343,-1.7329042249933395,0.0913689601754335,1,Standard Value,2,131.25,Low
Chevrolet,Black Diamond Avalanche,320.0,21.0,40352.5,10.60543341095242,0.1847338098939364,-0.9956554177243536,-0.14749998088424227,-0.2746171672175137,0,High Value,1,126.1015625,Low
Chevrolet,Camaro,426.0,25.0,36300.0,10.499600568082863,0.990640491549909,-0.35433758791809994,-0.30788941722119884,-0.8493175042193499,0,High Value,1,85.21126760563381,Low
Chevrolet,Captiva Sport,180.0,28.0,25462.5,10.145001333205215,-0.879671241349801,0.1266507844365903,-0.8452837634889406,0.018201933528590786,1,Standard Value,2,141.45833333333334,Mid
Chevrolet,City Express,131.0,26.0,22960.0,10.041552403492023,-1.2522130092851091,-0.19400813046653653,-1.0020603847766325,0.404688464266286,1,Standard Value,2,175.26717557251908,High
Chevrolet,Cobalt,155.0,37.0,15670.0,9.659567149523216,-1.0697435719290398,1.569615901500661,-1.580958181641066,-0.36197463818639974,1,Standard Value,2,101.09677419354838,Low
Chevrolet,Colorado,200.0,25.0,28130.0,10.244627450087735,-0.7276133768864099,-0.35433758791809994,-0.6943006064842486,0.0015483680106083142,1,Standard Value,1,140.65,Mid
Chevrolet,Corvette,460.0,25.0,69170.0,11.144336978624723,1.2491388611376737,-0.35433758791809994,0.6692071689508009,-0.31688336657938265,0,High Value,0,150.3695652173913,Mid
Chevrolet,Corvette Stingray,455.0,29.0,57500.0,10.959557617938563,1.211124395021826,0.28698024188815374,0.3891744616778337,-0.5360942059056093,0,High Value,1,126.37362637362638,Low
Chevrolet,Cruze,153.0,39.0,20095.0,9.908276069267925,-1.0849493583753789,1.890274816403788,-1.2040403707967169,-0.11947946172190349,1,Standard Value,2,131.33986928104576,Low
Chevrolet,Cruze Limited,138.0,38.0,20195.0,9.913239843978806,-1.1989927567229222,1.7299453589522245,-1.196517781339652,0.04899655367261424,1,Standard Value,2,146.34057971014494,Mid
Chevrolet,Equinox,182.0,32.0,27260.0,10.213212388363457,-0.8644654549034619,0.767968614242844,-0.7419100621676605,0.01983705099916655,1,Standard Value,2,149.78021978021977,Mid
Chevrolet,Express,285.0,17.0,34815.0,10.457832330215615,-0.08136745291699796,-1.6369732475306074,-0.3711890881614662,-0.20239719726489014,0,High Value,1,122.15789473684211,Low
Chevrolet,Express Cargo,252.5,18.0,30235.0,10.316788546412067,-0.3284614826700084,-1.476643790079044,-0.5849406266225948,-0.1789666589698573,0,High Value,1,119.74257425742574,Low
Chevrolet,HHR,155.0,32.0,19375.0,9.871790465792873,-1.0697435719290398,0.767968614242844,-1.2593342211470284,-0.08673207512549475,1,Standard Value,2,125.0,Low
Chevrolet,Impala,250.0,29.0,35490.0,10.477034422194833,-0.3474687157279323,0.28698024188815374,-0.34208836077352955,-0.14281062782970722,1,Standard Value,1,141.96,Mid
Chevrolet,Impala Limited,300.0,30.0,26840.0,10.197685848215706,0.03267594543054534,0.44730969933971715,-0.7654404989870742,-0.7014108826923593,0,High Value,1,89.46666666666667,Low
Chevrolet,Malibu,196.0,36.0,25470.0,10.145295829079494,-0.7580249497790882,1.4092864440490975,-0.8448374556510482,-0.20687885340346135,1,Standard Value,2,129.94897959183675,Low
Chevrolet,Malibu Hybrid,164.0,34.0,25925.0,10.163001605159987,-1.001317532920514,1.0886275291459708,-0.8180043916563587,0.09672515746340693,1,Standard Value,2,158.07926829268294,Mid
Chevrolet,Malibu Limited,197.0,34.0,23835.0,10.07895232186687,-0.7504220565559186,1.0886275291459708,-0.9453808922434559,-0.25545749736298795,1,Standard Value,2,120.98984771573605,Low
Chevrolet,SS,415.0,21.0,45745.0,10.730859635187304,0.9070086660950439,-0.9956554177243536,0.04258318102893471,-0.5293824650313468,0,High Value,1,110.2289156626506,Low
Chevrolet,Silverado 1500,285.0,22.0,38612.5,10.561357235240461,-0.08136745291699796,-0.8353259602727902,-0.2142973264591226,-0.1618915390312914,0,High Value,1,135.48245614035088,Low
Chevrolet,Silverado 1500 Hybrid,332.0,23.0,44882.5,10.711825522895598,0.275968528571971,-0.6749965028212268,0.013737026481202563,-0.2472737055251386,0,High Value,1,135.1882530120482,Low
Chevrolet,Sonic,138.0,35.0,18157.5,9.806894049624846,-1.1989927567229222,1.2489569865975343,-1.3576845945023732,-0.01953769260659577,1,Standard Value,2,131.57608695652175,Low
Chevrolet,Spark,98.0,39.0,14960.0,9.613202094214232,-1.5031084856497043,1.890274816403788,-1.651224319118876,0.23695332769674415,1,Standard Value,2,152.6530612244898,Mid
Chevrolet,Suburban,355.0,22.5,56125.0,10.935354442257765,0.4508350727048707,-0.7551612315470084,0.3524946031409885,-0.11540617512354778,0,High Value,1,158.09859154929578,Mid
Chevrolet,Tahoe,355.0,22.5,53425.0,10.886052797840904,0.4508350727048707,-0.7551612315470084,0.2777780714472149,-0.1647078195404088,0,High Value,1,150.49295774647888,Mid
Chevrolet,Tahoe Hybrid,332.0,23.0,53785.0,10.892768489237657,0.275968528571971,-0.6749965028212268,0.2879556867179845,-0.06633073918307986,0,High Value,1,162.00301204819277,Mid
Chevrolet,Traverse,281.0,22.0,36052.5,10.49275922537906,-0.11177902580967616,-0.8353259602727902,-0.31825745676638345,-0.2098176285957294,0,High Value,1,128.30071174377224,Low
Chevrolet,Trax,138.0,32.0,22772.5,10.033352858268733,-1.1989927567229222,0.767968614242844,-1.014486777198159,0.24473266411204087,1,Standard Value,2,165.018115942029,Mid
Chrysler,200,184.0,36.0,26625.0,10.189643460991862,-0.8492596684571228,1.4092864440490975,-0.7776287188124238,-0.07013119259835854,1,Standard Value,2,144.70108695652175,Mid
Chrysler,300,292.0,28.5,38082.5,10.54753639644638,-0.028147200354811084,0.206815513162372,-0.2352427766972749,-0.2931247483275943,0,High Value,1,130.4195205479452,Low
Chrysler,PT Cruiser,150.0,24.0,18275.0,9.813344002683163,-1.1077580380448875,-0.5146670453696633,-1.3479097050883346,0.0036078319648140678,1,Standard Value,2,121.83333333333333,Low
Chrysler,Pacifica,287.0,28.0,34495.0,10.448598654268668,-0.06616166647065885,0.1266507844365903,-0.3851827033785707,-0.3605006285454788,0,High Value,1,120.19163763066202,Low
Chrysler,Sebring,173.0,29.0,27850.0,10.23462415135353,-0.9328914939119879,0.28698024188815374,-0.709460583311733,0.15323189558748318,1,Standard Value,2,160.98265895953756,Mid
